# Time-averaged data for fix myat3
# TimeStep v_mydensity
100 0.00613181
200 0.0061433
300 0.00621416
400 0.00641295
500 0.00666947
600 0.00687373
700 0.00709632
800 0.00732741
900 0.00755522
1000 0.00775818
1100 0.00793938
1200 0.00809573
1300 0.00827649
1400 0.00847311
1500 0.00867139
1600 0.00888875
1700 0.0091198
1800 0.00935325
1900 0.00960789
2000 0.0098178
2100 0.0100505
2200 0.010266
2300 0.0104814
2400 0.0107187
2500 0.0109339
2600 0.0110822
2700 0.0112366
2800 0.0115217
2900 0.0118328
3000 0.0121451
3100 0.0124867
3200 0.0127555
3300 0.0130511
3400 0.0133199
3500 0.0136782
3600 0.0140285
3700 0.0142486
3800 0.01448
3900 0.0148335
4000 0.0151389
4100 0.0153991
4200 0.0157048
4300 0.0161519
4400 0.0166415
4500 0.0169243
4600 0.0171638
4700 0.0174722
4800 0.0178529
4900 0.0182685
5000 0.0185575
5100 0.0187285
5200 0.0190482
5300 0.0192803
5400 0.019501
5500 0.019789
5600 0.0199554
5700 0.0200282
5800 0.0200727
5900 0.0201888
6000 0.0203103
6100 0.0206509
6200 0.0209814
6300 0.0212472
6400 0.021583
6500 0.0218829
6600 0.0221571
6700 0.0224938
6800 0.0228898
6900 0.0229526
7000 0.0230636
7100 0.0232691
7200 0.0235112
7300 0.0237632
7400 0.024226
7500 0.0246615
7600 0.024954
7700 0.0250963
7800 0.025542
7900 0.0261721
8000 0.0266916
8100 0.0269779
8200 0.0273733
8300 0.0276571
8400 0.0279592
8500 0.0283999
8600 0.0288588
8700 0.0290024
8800 0.0293288
8900 0.0298528
9000 0.0302043
9100 0.0304378
9200 0.0305865
9300 0.0306986
9400 0.0304894
9500 0.0304613
9600 0.030809
9700 0.0316324
9800 0.0323641
9900 0.0326308
10000 0.0327999
10100 0.0324781
10200 0.0320055
10300 0.0318306
10400 0.0316769
10500 0.0319505
10600 0.0323271
10700 0.0325271
10800 0.0324011
10900 0.0323321
11000 0.0323451
11100 0.0323997
11200 0.0322088
11300 0.0319481
11400 0.0319299
11500 0.0322233
11600 0.0318927
11700 0.0317227
11800 0.0318209
11900 0.0323561
12000 0.0326157
12100 0.0324933
12200 0.0325498
12300 0.0325146
12400 0.0323305
12500 0.0321302
12600 0.0322208
12700 0.0325686
12800 0.0325459
12900 0.0325453
13000 0.0325344
13100 0.032403
13200 0.0322306
13300 0.032413
13400 0.0326337
13500 0.0324893
13600 0.0322157
13700 0.0324931
13800 0.03239
13900 0.0322604
14000 0.0322312
14100 0.0319203
14200 0.0320489
14300 0.032132
14400 0.0320458
14500 0.0318506
14600 0.0317124
14700 0.0316995
14800 0.0317896
14900 0.0320613
15000 0.0323127
15100 0.0322797
15200 0.0317734
15300 0.0317105
15400 0.0319234
15500 0.0320345
15600 0.0320197
15700 0.0319672
15800 0.031904
15900 0.0320549
16000 0.0320482
16100 0.0320641
16200 0.0324232
16300 0.032179
16400 0.031946
16500 0.0318643
16600 0.0319825
16700 0.0320131
16800 0.0319227
16900 0.0316947
17000 0.0314009
17100 0.0313161
17200 0.0314106
17300 0.0317235
17400 0.0316645
17500 0.0313774
17600 0.0311816
17700 0.0312491
17800 0.0313544
17900 0.0316924
18000 0.0316443
18100 0.0315571
18200 0.0317264
18300 0.0316928
18400 0.0318645
18500 0.0324083
18600 0.0327237
18700 0.0326026
18800 0.0325329
18900 0.0325349
19000 0.0324484
19100 0.0320456
19200 0.0317257
19300 0.0318348
19400 0.0317425
19500 0.0318328
19600 0.031715
19700 0.0317272
19800 0.0322619
19900 0.0325963
20000 0.0324882
20100 0.0324154
20200 0.0322076
20300 0.0319869
20400 0.0319753
20500 0.0320459
20600 0.0322449
20700 0.0321025
20800 0.0318508
20900 0.0317781
21000 0.0318711
21100 0.0321737
21200 0.0323103
21300 0.0321469
21400 0.0319368
21500 0.0320143
21600 0.0321338
21700 0.0320999
21800 0.0320568
21900 0.0318894
22000 0.0316471
22100 0.0316948
22200 0.0319998
22300 0.0321693
22400 0.0322561
22500 0.0325675
22600 0.032481
22700 0.0321023
22800 0.0319092
22900 0.0319283
23000 0.0318417
23100 0.031714
23200 0.0314451
23300 0.0314131
23400 0.0316643
23500 0.0319968
23600 0.0323368
23700 0.0322236
23800 0.0319022
23900 0.0314404
24000 0.0312622
24100 0.0314408
24200 0.0318204
24300 0.0322045
24400 0.0321929
24500 0.0318975
24600 0.031714
24700 0.0314813
24800 0.031414
24900 0.0315882
25000 0.0317782
