# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 416.297
200 373.234
300 327.262
400 319.653
500 312.297
600 301.973
700 308.767
800 300.655
900 305.632
1000 293.658
1100 304.514
1200 304.048
1300 300.72
1400 294.997
1500 301.727
1600 300.474
1700 298.073
1800 299.761
1900 300.949
2000 294.816
2100 301.692
2200 304.2
2300 295.439
2400 302.813
2500 309.937
2600 302.674
2700 294.689
2800 302.08
2900 303.996
3000 304.593
3100 299.858
3200 295.363
3300 299.781
3400 300.621
3500 297.502
3600 311.387
3700 299.201
3800 302.021
3900 297.342
4000 298.194
4100 302.164
4200 300.99
4300 294.092
4400 307.022
4500 309.061
4600 299.343
4700 300.112
4800 301.835
4900 292.643
5000 304.109
5100 296.065
5200 303.674
5300 305.186
5400 300.001
5500 297.518
5600 300.354
5700 304.419
5800 301.497
5900 298.512
6000 297.588
6100 298.326
6200 307.62
6300 295.534
6400 301.506
6500 291.703
6600 305.376
6700 287.322
6800 300.504
6900 297.358
7000 302.579
7100 304.088
7200 297.113
7300 291.72
7400 305.854
7500 300.049
7600 295.931
7700 304.31
7800 300.336
7900 297.363
8000 299.825
8100 295.971
8200 308.254
8300 300.301
8400 296.978
8500 304.134
8600 303.889
8700 293.147
8800 299.709
8900 300.034
9000 303.761
9100 301.666
9200 296.808
9300 303.467
9400 299.61
9500 305.139
9600 291.236
9700 303.919
9800 299.31
9900 292.756
10000 298.555
10100 297.841
10200 293.48
10300 302.128
10400 294.947
10500 289.575
10600 301.366
10700 300.937
10800 301.375
10900 295.353
11000 305.756
11100 308.202
11200 295.972
11300 299.976
11400 298.162
11500 309.52
11600 295.844
11700 303.048
11800 296.01
11900 295.291
12000 310.894
12100 303.695
12200 300.554
12300 303.353
12400 303.205
12500 298.491
12600 298.383
12700 303.027
12800 296.565
12900 293.257
13000 296.861
13100 297.999
13200 301.922
13300 297.836
13400 295.614
13500 307.804
13600 292.365
13700 307.234
13800 298.766
13900 292.236
14000 302.649
14100 295.418
14200 302.02
14300 301.336
14400 295.944
14500 298.382
14600 299.38
14700 304.876
14800 297.487
14900 302.183
15000 292.569
15100 299.567
15200 295.765
15300 301.721
15400 300.464
15500 296.101
15600 297.057
15700 307.094
15800 297.937
15900 297.186
16000 300.739
16100 297.271
16200 305.574
16300 290.408
16400 301.846
16500 295.946
16600 302.516
16700 300.53
16800 296.762
16900 297.921
17000 303.307
17100 310.18
17200 296.648
17300 299.107
17400 296.794
17500 305.586
17600 305.982
17700 298.989
17800 296.976
17900 304.692
18000 299.386
18100 296.734
18200 303.526
18300 298.223
18400 305.189
18500 312.426
18600 302.327
18700 294.531
18800 301.818
18900 299.628
19000 296.287
19100 301.543
19200 307.415
19300 302.563
19400 297.059
19500 303.423
19600 303.112
19700 312.814
19800 308.516
19900 296.352
20000 297.826
20100 307.778
20200 298.602
20300 299.758
20400 304.573
20500 299.778
20600 303.902
20700 300.038
20800 292.145
20900 301.873
21000 297.605
21100 292.525
21200 303.457
21300 299.055
21400 290.125
21500 297.015
21600 300.786
21700 303.254
21800 305.279
21900 300.511
22000 305.432
22100 305.261
22200 298.173
22300 304.495
22400 305.596
22500 308.677
22600 300.849
22700 295.597
22800 291.317
22900 302.867
23000 299.695
23100 304.888
23200 292.439
23300 310.179
23400 300.594
23500 299.577
23600 297.377
23700 295.788
23800 298.103
23900 300.565
24000 299.229
24100 294.387
24200 300.103
24300 306.882
24400 291.825
24500 304.46
24600 295.19
24700 291.26
24800 293.769
24900 307.279
25000 294.94
